"No.","Time","Source","Destination","Protocol","Length","Info"
"866659","124.632616522","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x32a031ac,Begin:0x3d51fef3,Len:0xcfdf14d7)  "
"870932","125.173284265","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xb1ad03fb,Begin:0x2013e57,Len:0xd39beffe)  "
"874606","125.642224729","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xf4150a90,Begin:0x5b0fec14,Len:0x3c5fb36a)  "
"878727","126.177752155","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x44c8779c,Begin:0x656284d0,Len:0xee88a30c)  "
"878904","126.211218741","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"879040","126.220479875","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xd044334e,Begin:0xe0a6b44e,Len:0xa40776bd)  "
"882050","126.665084399","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x924bce4f,Begin:0x75490006,Len:0x54aabd4c)  "
"882354","126.704926935","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x62bf7317,Begin:0x5f0d6db7,Len:0x8bd3e924)  "
"882559","126.727773016","64.66.221.143","10.120.0.102","BitTorrent","618","Cancel, Piece (Idx:0x9b7bd65f,Begin:0x9833c7fc,Len:0x75a1f62b)  "
"890042","127.720474234","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x97b3bb23,Begin:0xb3e51ed3,Len:0x9b6b9e0c)  "
"894167","128.259165797","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"894215","128.263960260","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x5ef7830e,Begin:0xa2014b64,Len:0xcd68c5b2)  "
"897340","128.661428908","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xb66cd26e,Begin:0x4bb00091,Len:0xdff8c21f)  "
"897372","128.664624805","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xd1e8cb20,Begin:0x2a2ddcf4,Len:0x69fa9d56)  "
"897382","128.664934334","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"897593","128.688146621","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x9affb18f,Begin:0xd80a23f1,Len:0x84b33a76)  "
"897611","128.690910064","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x63ff798f,Begin:0x84a6de8c,Len:0x26c18d9e)  "
"897801","128.705106281","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xc0479987,Begin:0xf6cee59c,Len:0xc516ca76)  "
"898378","128.776732499","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x883fbd7f,Begin:0x57791d83,Len:0x823ffd01)  "
"899347","128.892866819","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x4c27d3f5,Begin:0x2854eb79,Len:0x9d435381)  "
"901622","129.186331103","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"906073","129.825634420","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xfe3f2328,Begin:0xa5d82532,Len:0xf1deadae)  "
"909300","130.214889689","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"909550","130.254467996","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x37a838d2,Begin:0x5833b33e,Len:0x8d2d807e)  "
"912711","130.745543228","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"912955","130.767604961","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"913226","130.798771111","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x583b002d,Begin:0xc76c940d,Len:0x6cc94861)  "
"913262","130.807581870","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xebae2ac7,Begin:0x8aa86b91,Len:0x9fd666e3)  "
"916668","131.277658106","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"916905","131.301721366","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x24c3ee77,Begin:0xc6450344,Len:0xacb1eeb2)  "
"922917","132.200212279","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x38109fb3,Begin:0x254247fc,Len:0x6981544c)  "
"926701","132.811732531","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"928698","133.200103252","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xe973da39,Begin:0xc00f643f,Len:0x1d6a6a4e)  "
"929447","133.311857621","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"931867","133.711495412","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"935708","134.322127857","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xe18a79af,Begin:0x5c91c378,Len:0xcd83e19a)  "
"942574","135.282160215","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x907a713,Begin:0x4ebd4eea,Len:0x4bca483a)  "
"942811","135.307680861","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xcb931ed5,Begin:0x9a386de6,Len:0x4fe14f33)  "
"951158","136.385000602","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xbdf21662,Begin:0x5fc1f5f2,Len:0x53c66fed)  "
"954338","136.903605563","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x6741ab9d,Begin:0x90c621f6,Len:0x840e890f)  "
"954795","136.976346111","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x8721d431,Begin:0xeeb1669f,Len:0xd77cde76)  "
"955049","137.008803608","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xb185274e,Begin:0xd8353d7,Len:0x2e93ede0)  "
"955069","137.009108082","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"956645","137.256137985","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xa668d450,Begin:0xc87fe78a,Len:0xe94c23dd)  "
"956796","137.279326861","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"960324","137.834349773","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"960402","137.841127812","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xe6a9aa87,Begin:0xf4be93d5,Len:0x16da6cab)  "
"960692","137.879274038","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"960949","137.909369710","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x33c8fc3e,Begin:0x90f096cf,Len:0xffaacb3c)  "
"961008","137.925520501","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x88546714,Begin:0xea56729a,Len:0x28a6c624)  "
"963538","138.323259890","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"963548","138.324109195","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x43aef318,Begin:0xd7e234be,Len:0x2bb68b8b)  "
"963640","138.336353726","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xd7c52a3c,Begin:0xf62ec759,Len:0xbf9ad088)  "
"963998","138.377350397","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xfa4f60be,Begin:0x5eb4e425,Len:0x7dda8114)  "
"967860","138.894626761","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xa427bb5d,Begin:0xf5498923,Len:0xf52375ed)  "
"968166","138.926778927","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x96f1fd30,Begin:0xd83123d4,Len:0x68f116be)  "
"971899","139.440514048","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"974072","139.820178342","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xc27c81b6,Begin:0x90a8ac75,Len:0x8636ca9a)  "
"978155","140.427473772","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x77e05c46,Begin:0xec804f8b,Len:0xd38fe26)  "
